-------------------------------------------------------------------------
data          czas      rozmiar  plik              opis
-------------------------------------------------------------------------
2017-09-11    15:32      268 kB  AUD.txt           dolar australijski  
2017-09-11    15:32      113 kB  BGN.txt           lew bulgarski       
2017-09-11    15:32      105 kB  BRL.txt           real brazylijski    
2017-09-11    15:32      268 kB  CAD.txt           dolar kanadyjski    
2017-09-11    15:32      268 kB  CHF.txt           frank szwajcarski   
2017-09-11    15:32       65 kB  CLP.txt           peso chilijskie     
2017-09-11    15:32      105 kB  CNY.txt           yuan renminbi (Chiny)
2017-09-11    15:32      203 kB  CZK.txt           korona czeska       
2017-09-11    15:32      268 kB  DKK.txt           korona dunska       
2017-09-11    15:32      203 kB  EUR.txt           euro                
2017-09-11    15:32      268 kB  GBP.txt           funt szterling      
2017-09-11    15:32      160 kB  HKD.txt           dolar Hongkongu     
2017-09-11    15:32      105 kB  HRK.txt           kuna chorwacka      
2017-09-11    15:32      203 kB  HUF.txt           forint (Wegry)      
2017-09-11    15:32      105 kB  IDR.txt           rupia (Indonezja)   
2017-09-11    15:32       66 kB  ILS.txt           nowy szekel izraelski
2017-09-11    15:32       66 kB  INR.txt           rupia indyjska      
2017-09-11    15:32      105 kB  ISK.txt           korona islandzka    
2017-09-11    15:32      268 kB  JPY.txt           jen (Japonia)       
2017-09-11    15:32      105 kB  KRW.txt           won (Korea Pld.)    
2017-09-11    15:32      105 kB  MXN.txt           peso meksykanskie   
2017-09-11    15:32      105 kB  MYR.txt           ringgit malezyjski  
2017-09-11    15:32      268 kB  NOK.txt           korona norweska     
2017-09-11    15:32      105 kB  NZD.txt           dolar nowozelandzki 
2017-09-11    15:32      105 kB  PHP.txt           peso filipinskie    
2017-09-11    15:32      113 kB  RON.txt           lej rumunski        
2017-09-11    15:32      160 kB  RUB.txt           rubel rosyjski      
2017-09-11    15:32      268 kB  SEK.txt           korona szwedzka     
2017-09-11    15:32      105 kB  SGD.txt           dolar singapurski   
2017-09-11    15:32      105 kB  THB.txt           bat (Tajlandia)     
2017-09-11    15:32      105 kB  TRY.txt           lira turecka        
2017-09-11    15:32      160 kB  UAH.txt           hrywna (Ukraina)    
2017-09-11    15:32      268 kB  USD.txt           dolar amerykanski   
2017-09-11    15:32      268 kB  XDR.txt           SDR (MFW)           
2017-09-11    15:32      160 kB  ZAR.txt           rand (RPA)          
-------------------------------------------------------------------------
                        5717 kB  35 plikow
